#a				
b	1巴吧爸芭疤	2㞎背	3把靶	4壩霸
p	1扒	2爬耙杷琶扒	3	4怕帕罷
m	1馬媽碼	2麻痳嫲蟆嗎	3馬	4罵
f	1花	2華嘩樺鏵划	3	4化畫話
v	1哇娃窪蛙挖	2哇	3	4話
d	1	2	3打	4
t	1他她它	2		4
n	1拿	2挪娜	3那	4
l	1拉啦	2	3	4
z	1遮渣喳	2	3者	4乍炸榨詐蔗
c	1差叉汊扠杈車奢賒	2查茶搽	3扯	4岔
s	1沙砂鯊紗莎痧裟社	2蛇佘	3灑捨耍	4舍射赦麝
g	1家傢加伽枷痂嘉佳	2	3賈假	4嫁稼價架駕
k	1	2卡	3	4
ng	1	2牙芽伢	3瓦雅	4
h	1下	2霞蝦暇瑕遐	3	4夏廈下
0	1阿丫亞鴉	2	3啞	4
#e				
b	1啤	2	3	4
p	1	2	3	4
m	1呣姆拇	2	3	4
f	1	2	3	4
v	1	2	3	4穢
d	1	2	3	4
t	1	2	3	4
n	1	2	3	4
l	1哩	2	3	4
z	1疥	2	3這	4
c	1	2齊	3	4滯
s	1	2	3洗	4細婿
g	1街雞	2	3	4
k	1	2	3	4
ng	1	2	3	4
h	1	2	3	4係
0	1	2	3	4
#ii				
z	1之芝租組資咨姿知蜘支枝肢梔脂茲滋輜膣	2	3紫旨指子祖止趾址梓紙	4志痣至致智制置
c	1矢雉稚馳侈癡初粗蛆雛雌疵	2池遲瓷磁鋤慈匙詞祠辭持治	3此始恥齒措刺楚	4次醋賜翅寺痔治廁牸助
s	1蘇司屍絲思詩師施斯撕廝疏梳蔬酥蘇	2時鰣	3史使駛屎眵	4素嗉訴世勢誓逝豕是市柿侍氏豉似字士仕事俟示試視嗜巳祀
#i				
b	1杯卑碑俾痹悲蓖	2	3比譬彼髀	4貝敝弊蔽斃毖秘泌沸幣閉輩痱箄背
p	1批胚披疲被脾	2皮培陪裴枇琵肥脾	3丕陛鄙	4倍配佩屁備鼻濞沛
m	1美尾每	2迷謎眉媚微糜靡	3米咪	4味昧寐
f	1非啡菲匪翡飛妃揮	2回茴	3	4會肺廢悔晦匯惠慧費
v	1委威	2維惟唯帷違圍為遺	3韋偉煒緯諱葦尉慰蔚	4衛位胃渭謂蝟猬畏未為
d	1知-	2	3氐砥抵胝	4帝締
t	1	2提題堤	3體	4弟遞剃第替屜
n	1	2尼	3	4膩
l	1里裏理鯉禮旅	2狸厘梨離璃籬	3李旅履侶	4吏利莉麗隸慮濾荔厲勵礪
z	1擠	2	3姊	4濟際
c	1妻淒棲趨	2徐齊臍薺糍	3取娶	4趣聚
s	1西篩須需犀	2	3死	4四肆
g	1居車拘駒幾饑肌譏機基	2佢	3舉據己杞矩冀幾	4句鋸記計既廄繼寄髻
k	1巨渠拒距區驅嶇企歧欺技妓徛	2奇騎琦祈鰭其琪棋期旗豈	3忌啟懼瞿	4去具俱
ng	1語	2儀禺愚隅宜你爾妳汝	3耳餌擬	4義議蟻藝遇寓貳二禦毅誼
h	1虛墟噓希稀稽奚兮嬉嘻熙	2	3起許喜	4氣系器棄去
0	1衣於迂於淤與以醫矣予禹宇伊依	2如茹餘舁移夷姨而兒儒寅	3雨倚椅綺	4譽預籲俞喻榆逾愉愈怡飴裕刈肄易
#o				
b	1波坡玻坡菠煲褒	2	3	4播
p	1	2婆	3頗	4破
m	1摸	2魔摩麼嫫饃無磨	3	4磨
f	1	2和夥	3火夥	4貨禍
v	1窩蝸媧倭	2禾	3㖞	4
d	1多哆	2	3朵剁躲島搗跺	4
t	1拖	2砣舵馱陀駝	3妥	4唾惰墮橢
n	1鐾	2捼挪	3	4糯懦
l	1啰	2羅籮鑼蘿邏騾螺	3	4摞
z	1	2	3左佐	4做
c	1坐	2挫	3	4痤座銼搓
s	1唆梭蓑嗦	2傻	3所鎖瑣嗩	4
g	1哥歌	2	3	4
k	1科苛坷柯呵戈	2	3可	4棵課顆裸
ng	1我	2俄鵝蛾哦訛	3	4餓
h	1	2河荷何	3	4
0	1啊屙屙	2	3	4
#u				
b	1晡	2	3補斧	4布怖佈
p	1普薄鋪	2符菩葡扶-	3甫浦脯晡譜殕	4步部孵鋪
m	1母	2巫誣模摹	3撫	4夢慕墓暮
f	1夫伕膚俘哹互敷	2胡湖狐弧壺扶	3虎府俯腑滸苦腐	4戶戽滬褲父釜付副賦赴婦負富腐
v	1烏塢汙侮武	2無	3舞撫蕪鵡	4務霧戊芋
d	1都嘟	2	3肚賭堵	4妒褚
t	1	2圖屠塗途徒	3土	4吐杜兔度渡踱
n	1	2奴駑	3努	4怒
l	1魯櫓擼鹵黸	2盧瀘廬爐驢鸕	3虜擄	4路鷺露潞
z	1朱誅株珠硃蛛周豬舟州洲	2	3主拄煮帚	4注註蛀駐著鑄晝咒
c	1柱抽苧	2除廚綢稠酬售籌	3暑醜鼠處礎	4臭住獸紂處
s	1書收舒輸	2署薯仇儲殊	3手守首授	4樹庶恕豎受壽
g	1姑菇孤	2咕	3古股鼓	4固故錮雇顧
k	1枯估沽箍麩	2	3苦	4庫
ng	1	2娛	3	4悟悮
#ai				
b	1跛	2排-	3擺	4拜簸
p	1	2排牌簰	3	4敗派
m	1買	2埋	3邁	4賣
f	1	2懷淮槐	3	4壞
v	1歪	2	3	4喂
d	1低	2	3底歹	4帶戴
t	1弟-	2啼-蹄	3癩	4大太態泰待怠殆
n	1乃奶扔	2泥坭	3奈捺哪	4耐
l	1拉-	2犁黎	3	4賴
z	1哉栽齋災	2	3仔宰滓	4再債
c	1猜	2柴裁	3采彩踩採	4蔡在寨
s	1舐祀-	2	3徏	4曬帥
g	1	2	3	4
k	1荷	2	3	4
ng	1	2涯崖捱我	3	4艾
h	1溪	2孩鞋諧	3蟹	4械懈
0	1唉挨埃	2	3矮	4藹靄隘
#au				
b	1包苞胞	2	3保堡寶飽	4報豹爆-
p	1跑拋	2袍刨铇麅	3	4泡炮抱暴爆
m	1毛卯	2茅	3藐鉚	4冒帽貌
d	1刀	2嘐	3倒禱	4到
t	1導叨稻滔蹈	2桃洮逃濤淘萄掏	3討	4道盜套
n	1惱	2撓	3腦惱	4鬧
l	1褸	2勞撈嘮澇牢	3老	4
z	1昭招糟遭朝	2	3早找爪蚤棗	4灶沼詔照笊
c	1抄鈔超操	2吵曹嘈漕槽朝	3草炒	4燥躁造糙皂趙
s	1燒稍梢躁	2韶騷巢繅	3少嫂	4召紹邵掃兆少
g	1高膏蒿篙羔糕交跤郊膠教	2	3攪搞稿搞校狡絞較	4告窖酵教
k	1敲-	2	3考烤	4靠銬
ng	1咬	2敖熬嗷	3	4傲
0	1凹	2	3襖拗	4奧澳懊坳
#am				
f	1	2凡礬帆	3	4氾範犯泛幻患
d	1擔耽	2	3膽	4
t	1貪淡探	2談痰譚潭壇	3探	4淡
n	1腩	2南楠喃男	3	4
l	1	2藍籃婪	3欖攬	4覽纜濫
z	1沾粘詹瞻簪	2	3斬塹	4占站
c	1參滲摻	2蠶蟾讒饞	3慘慚	4杉站
s	1三衫	2禪蟬嬋	3陝閃	4
g	1甘柑泔橄監	2	3敢減感	4鑒監鑑艦
k	1堪勘	2	3砍坎	4勘
ng	1啱	2岩	3僸	4
h	1含晗函銜鹹	2	3	4陷餡喊撼憾
0	1庵	2	3揞	4暗黯
#ab				
f	5法	6		
d	5答搭	6		
t	5塌榻溻塔遝	6踏		
n	5衲	6納		
l	5	6臘蠟		
z	5紮劄軋	6		
c	5插	6雜柵閘		
s	5䁋	6涉煠		
g	5甲鉀合-	6		
k	5恰洽哈	6磕		
ng	5	6		
h	5	6合盒狹		
0	5鴨押	6		
#an				
b	1班斑般搬頒攀	2	3板扳叛粄	4半襻
p	1番潘藩	2盤	3	4扮盼伴判絆拌辦
m	1滿	2蠻	3瞞	4曼漫蔓慢
f	1番翻	2還環煩繁	3反返	4飯販
v	1彎灣鯇	2完還	3晚挽輓宛婉	4萬
d	1單丹	2	3憚撣	4旦但誕
t	1攤灘癱	2彈壇檀	3坦毯袒	4歎蛋炭
n	1	2難	3	4難
l	1懶	2攔瀾鸞	3	4爛
z	1氈潺顫	2	3展盞	4戰贊
c	1	2纏泉殘	3鏟	4燦棧綻孱
s	1山汕疝刪珊姍	2	3產膳散	4善散撒扇搧
g	1	2	3	4
k	1刊	2	3	4
ng	1研妍	2頑	3	4玩岸
h	1	2閑嫻還	3蜆	4限莧
0	1	2	3	4
#ad				
b	5八捌缽撥潑	6		
p	5潑-	6撥跋鈸		
m	5抹襪蔑篾	6末沫		
f	5發闊	6活乏伐筏閥		
v	5挖	6滑猾		
d	5撻笪	6		
t	5	6達噠		
n	5焫	6		
l	5	6辣		
z	5折浙哲蟄	6		
c	5察擦獺	6徹撤		
s	5殺設煞	6舌蝕		
g	5	6		
k	5契	6		
ng	5齧	6		
h	5瞎	6		
0	5	6		
#aŋ				
b	1邦挷	2	3	4
p	1	2彭嘭棚龐	3	4冇
m	1猛	2盲	3蜢	4
f	1	2	3	4
v	1	2橫轟	3	4
d	1釘疔	2	3訂頂	4
t	1廳聽-	2	3	4
n	1	2	3	4
l	1冷	2零鈴	3	4另
z	1正爭踭	2	3整	4正
c	1橙成-	2	3	4鄭撐
s	1聲生-	2城成-	3省-	4覡
g	1耕庚更羹	2	3	4徑
ng	1	2	3	4 硬
h	1坑	2行	3	4
0	1罌	2	3	4
#ag				
b	5百佰伯柏	6		
p	5魄	6 白		
m	5脈	6麥		
f	5	6		
v	5	6劃		
d	5	6		
t	5	6笛糴		
n	5	6搦		
l	5壢	6曆		
z	5隻炙摘	6		
c	5尺拆	6		
s	5	6石		
g	5隔嗝格	6		
ng	5	6		
h	5嚇客	6核		
0	5厄軛扼呃	6		
#eu				
m	1某畝	2謀	3	4牡
f	1	2浮	3否	4埠
d	1兜	2	3抖	4鬥
t	1偷	2頭投	3㰴	4豆逗透竇毒
n	1	2	3紐	4
l	1	2樓嘍撈	3摟縷簍耬髏	4漏陋瘺
z	1鄒諏	2	3走	4奏揍
c	1驟	2	3	4湊
s	1搜餿	2愁	3	4瘦
ng	1偶耦	2	3	4
g	1勾溝鉤	2	3狗苟	4夠媾
k	1摳	2	3口	4扣
h	1後	2侯猴喉瘊	3口-	4候后厚
0	1區歐	2	3嘔毆	4漚熰
#em				
d	1	2	3	4
t	1	2	3	4
n	1	2	3	4
l	1	2	3	4
z	1砧	2	3	4
c	1	2岑	3	4
s	1參森	2	3	4
g	1	2	3	4
k	1	2	3	4
h	1喊	2含	3	4
0	1	2	3	4
#eb				
d	5	6		
t	5	6		
n	5	6		
l	5粒	6		
z	5	6		
c	5	6		
s	5澀	6		
g	5	6		
k	5	6		
h	5	6		
0	5	6		
#en				
b	1冰崩	2	3	4
p	1烹	2朋	3片	4
m	1免勉	2盟萌閩螟銘	3敏憫勉冕	4孟
f	1	2宏弘衡	3	4
d	1丁燈登	2	3等	4凳
t	1	2滕藤騰填	3挺-	4鄧
n	1	2寧獰擰能	3	4乳
l	1	2	3	4增贈憎
z	1爭猙掙錚曾	2	3	4
c	1	2層曾	3	4蹭
s	1生笙牲甥星僧	2	3省	4擤
g	1根跟	2	3梗	4更
k	1亨	2	3肯	4
ng	1	2凝	3	4
h	1很狠痕哼	2縆	3肯-	4恨
0	1恩嗯	2	3	4
#ed				
b	5北	6		
p	5弼撇	6帛別		
m	5覓陌	6蜜密默墨滅篾		
f	5	6或獲		
v	5域	6		
d	5德得	6		
t	5踢	6		
n	5	6		
l	5	6		
z	5則側	6		
c	5測策	6澤擇宅賊		
s	5色塞虱	6食蟄蝕實		
g	5革結-	6		
k	5克刻咳尅	6		
ng	5	6		
h	5黑嘿	6核		
0	5	6		
#iim				
z	1針	2	3枕	4
c	1深琛	2沉	3	4
s	1沈審瀋	2	3	4甚
#iib				
z	5執	6		
c	5	6		
s	5濕	6十拾什		
#iin				
z	1真貞偵珍疹征蒸	2	3整鎮振震拯軫	4正政證症
c	1稱郴	2陳呈程澄塵	3逞	4陣陳稱秤
s	1身申伸娠乘升昇	2神辰晨臣承丞成誠	3	4盛腎趁聖勝乘剩
#iid				
z	5只織	6		
c	5拭	6直值植		
s	5式室適	6食		
#ia				
m	1	2	3	4
d	1爹嗲	2	3	4
z	1嗟	2	3姐	4
c	1	2佘斜-	3且	4謝榭笡
s	1些	2邪斜	3寫	4瀉卸
g	1	2	3	4
k	1	2	3	4
ng	1惹	2	3	4
0	1也野	2爺	3冶野	4夜
#iai				
g	1階皆	2	3解	4介界戒誡
0	1挨	2椰	3	4
#iau				
b	1錶	2	3表婊裱	4
p	1標鏢漂飄瓢彪	2縹薸	3剖	4票漂鰾泡-
m	1	2苗描瞄錨	3秒貿眇渺淼	4廟貓妙茂謬
d	1刁叨貂雕鳥-	2	3鳥	4吊調
t	1挑	2調	3	4跳糶佻調
l	1撩蹽	2遼撩	3了	4廖料
z	1焦樵瞧蕉礁椒	2	3剿	4蘸
c	1	2樵-	3悄	4俏噍
s	1肖消宵硝銷簫	2	3小	4笑嘯鞘肖
g	1嬌驕	2餃	3繳矯	4叫
k	1	2喬橋僑蕎	3	4轎竅翹
ng	1鳥	2堯饒	3繞	4尿
h	1囂梟枵	2嬈	3曉	4翹-
0	1夭妖要腰么吆	2搖瑤謠窯姚	3擾舀	4耀鷂要
#iam				
d	1掂	2	3點	4店惦墊
t	1添	2甜	3舔恬	4掭
l	1廉簾鐮	2	3斂	4僉殮斂
z	1尖櫼	2	3蘸	4
c	1簽	2	3	4漸暫
s	1	2纖殲潛暹	3	4
g	1兼蒹	2	3檢撿	4劍
k	1謙	2鉗嵌扲	3	4欠儉
ng	1拈輦攆	2粘嚴釅鯰	3染儼	4念驗
h	1	2嫌	3險	4
0	1奄淹俺閹	2鹽炎閻簷	3掩	4豔厭焱焰
#iab				
d	5貼	6		
t	5帖貼	6碟疊		
l	5	6臘		
z	5妾接	6		
c	5竊	6捷婕睫		
s	5	6		
g	5劫	6夾		
k	5怯洽歉	6		
ng	5捏靨聶攝攝鑷躡囁	6業		
h	5脅	6協俠狹峽脅		
0	5凹	6		
#ian				
g	1堅奸肩娟絹捐間	2	3澗簡鐧柬諫卷倦	4眷謄見建
k	1牽圈	2權拳乾顴	3犬遣譴倦	4勸件鍵券
ng	1	2年言顏原源元	3眼	4彥諺願雁
h	1掀軒	2賢玄弦眩懸	3顯憲	4現獻
0	1煙演冤援淵燕	2元員園圓袁轅延筵然燃沿鉛緣焉	3遠	4燕宴怨院縣硯堰咽
#iad				
g	5決訣玦炔結潔蕨	6		
k	5缺闕欮	6傑		
ng	5臬鎳訖	6月熱		
h	5血歇蠍	6穴		
0	5乙	6越粵曰悅		
#iaŋ				
b	1	2	3丙炳餅	4柄
p	1	2瓶平坪	3	4病
m	1盲-	2名明	3	4命
d	1	2	3	4
t	1	2	3艇挺	4
l	1嶺領	2	3嶺領	4靚
z	1精	2	3井	4
c	1青清	2晴	3請	4淨
s	1腥	2	3醒	4姓性-
g	1驚	2	3頸	4鏡
k	1輕-	2擎	3	4儆
ng	1	2迎	3	4
h	1	2	3	4
0	1	2營贏	3映影	4
#iag				
b	5壁	6		
p	5劈	6		
m	5	6		
d	5	6		
t	5	6		
l	5	6叻		
z	5跡-	6		
c	5	6席		
s	5錫惜-	6		
g	5憿	6		
k	5劇	6屐		
ng	5額	6逆		
h	5	6		
0	5	6曳		
#ie				
0	1	2	3	4
#ieu（eu）				
g	1	2	3	4
k	1	2	3	4
#ien				
b	1邊鞭辮	2	3扁匾蝙	4變
p	1偏篇編遍蹁	2便	3片汴	4騙辨辯便
m	1	2棉綿	3緬靦	4面麵
d	1顛癲	2	3典碘觍	4
t	1天	2田填	3	4電佃奠殿
l	1臉	2連漣鰱聯	3哯	4戀鏈練煉楝
z	1煎拴栓荃詮痊	2	3剪翦	4箭薦濺
c	1千遷躚	2前錢全	3淺	4賤箋棧餞
s	1先鮮仙宣喧	2旋璿	3選羨癬	4線線
#ied				
b	5蹩憋鱉	6		
p	5撇	6別		
m	5	6		
d	5	6		
t	5鐵	6		
l	5	6列裂咧		
z	5節	6		
c	5切	6絕截		
s	5雪	6		
#iu				
d	1丟	2	3	4
l	1	2劉瀏留瘤流	3柳	4溜
z	1揪啾瞅	2	3酒	4皺
c	1秋鞦	2泅	3	4就袖宙
s	1修羞	2囚	3	4秀繡鏽
g	1	2	3九久玖樞韭	4灸疚究咎救
k	1臼舅坵	2求球俅	3	4舊
